,index,carat,cut,color,clarity,depth,table,price,Cluster
0,0,0.3,3,6,1,0.6239813736903377,58.0,6.353,1
1,1,1.01,4,5,5,0.6273291925465839,56.0,9.183,0
2,2,0.72,4,4,3,0.6183406113537119,59.0,7.983,1
3,3,1.08,2,3,1,0.6319018404907976,57.0,8.371,1
4,4,0.36,3,3,4,0.6232044198895027,59.0,6.588,1
5,5,0.53,4,4,4,0.6146435452793835,57.0,7.496,0
6,6,1.74,3,2,2,0.6214099216710183,59.0,8.979,1
7,7,0.33,4,5,5,0.5984598459845986,56.0,6.877,0
8,8,0.32,2,5,3,0.6285714285714286,56.0,6.554,0
9,9,0.27,4,5,5,0.6183574879227053,57.0,6.683,0
10,10,0.63,4,6,2,0.6108108108108109,56.0,7.484,0
11,11,0.31,4,3,3,0.6130884041331802,56.0,6.353,0
12,12,0.53,4,4,4,0.6202898550724637,55.0,7.554,0
13,13,0.7,2,2,4,0.6215978928884986,57.0,7.671,0
14,14,0.74,2,2,2,0.6242371403661727,58.0,7.794,1
15,15,1.29,2,1,3,0.6280752532561504,58.0,8.727,1
16,16,0.71,4,6,2,0.6207497820401047,55.0,8.087,0
17,17,0.32,4,3,2,0.6234357224118318,57.0,6.23,0
18,18,0.52,4,3,4,0.6153846153846155,56.0,7.451,0
19,19,0.42,3,3,6,0.5926680244399185,59.0,7.072,1
20,20,1.06,3,5,1,0.6165644171779141,62.0,8.445,1
21,21,0.58,4,1,6,0.6233766233766233,53.0,7.365,0
22,22,1.5,0,1,2,0.5672630881378397,63.0,8.976,1
23,23,0.3,4,3,7,0.619815668202765,55.0,6.76,0
24,24,1.0,0,4,4,0.6528332003192338,56.0,8.671,0
25,25,0.51,4,4,6,0.6143410852713178,56.0,7.911,0
26,26,1.2,3,3,3,0.5818441744102931,59.0,8.961,1
27,27,0.41,4,3,7,0.6232948583420777,55.0,7.266,0
28,28,0.42,4,5,4,0.6161825726141079,57.0,7.074,0
29,29,1.12,3,2,1,0.6194029850746269,58.0,8.456,1
30,30,1.22,3,1,2,0.6207906295754027,59.0,8.606,1
31,31,0.5,2,2,2,0.6092066601371204,61.0,7.033,1
32,32,0.31,3,3,2,0.624277456647399,55.0,6.385,0
33,33,0.56,4,6,3,0.6145146088595664,57.0,7.633,0
34,34,0.32,4,2,1,0.6193693693693695,54.0,6.04,0
35,35,0.72,4,0,2,0.6165803108808291,56.0,7.525,0
36,36,1.08,2,2,2,0.6344827586206896,57.0,8.573,0
37,37,0.31,1,6,2,0.6310904872389791,57.0,6.347,0
38,38,0.33,4,3,7,0.6186726659167604,55.0,6.852,0
39,39,0.7,4,5,1,0.6200873362445415,56.0,7.631,0
40,40,2.53,3,2,1,0.6109215017064847,57.0,9.626,1
41,41,1.0,1,2,2,0.648605577689243,56.0,8.361,0
42,42,0.37,4,6,3,0.6125541125541126,56.0,7.025,0
43,43,0.3,4,5,6,0.6137931034482759,56.0,6.797,0
44,44,1.7,2,0,2,0.618516086671044,59.0,9.09,1
45,45,0.32,4,1,3,0.6300114547537228,55.0,6.356,0
46,46,0.54,3,5,4,0.6269531250000001,60.0,7.866,1
47,47,0.34,4,3,4,0.605060506050605,57.0,6.579,0
48,48,1.22,4,2,2,0.6194302410518626,55.0,8.971,0
