,carat,cut,color,clarity,depth,table,price
0,0.3,3,6,1,0.6239813736903377,58.0,6.353
2,0.72,4,4,3,0.6183406113537119,59.0,7.983
3,1.08,2,3,1,0.6319018404907976,57.0,8.371
4,0.36,3,3,4,0.6232044198895027,59.0,6.588
6,1.74,3,2,2,0.6214099216710183,59.0,8.979
14,0.74,2,2,2,0.6242371403661727,58.0,7.794
15,1.29,2,1,3,0.6280752532561504,58.0,8.727
19,0.42,3,3,6,0.5926680244399185,59.0,7.072
20,1.06,3,5,1,0.6165644171779141,62.0,8.445
22,1.5,0,1,2,0.5672630881378397,63.0,8.976
26,1.2,3,3,3,0.5818441744102931,59.0,8.961
29,1.12,3,2,1,0.6194029850746269,58.0,8.456
30,1.22,3,1,2,0.6207906295754027,59.0,8.606
31,0.5,2,2,2,0.6092066601371204,61.0,7.033
44,1.7,2,0,2,0.618516086671044,59.0,9.09
46,0.54,3,5,4,0.6269531250000001,60.0,7.866
50,1.22,3,4,2,0.6179693206720234,59.0,8.837
51,1.61,3,6,2,0.5903141361256544,60.0,9.412
52,0.71,2,5,3,0.6252189141856391,58.0,8.115
53,0.32,2,1,2,0.6238738738738739,58.0,5.961
56,0.3,3,3,4,0.6178861788617886,60.0,6.654
62,0.61,1,6,1,0.5976385104450499,62.0,7.261
65,1.26,2,3,2,0.6326530612244898,58.0,8.976
66,0.4,3,6,4,0.6247334754797442,60.0,7.09
67,0.3,3,2,6,0.6271777003484321,59.0,6.528
73,0.44,3,3,2,0.6095820591233436,60.0,6.898
76,0.6,3,3,2,0.6176744186046511,60.0,7.406
77,0.7,2,3,2,0.6295313881520779,59.0,7.73
78,1.1,2,3,6,0.6138763197586727,60.0,9.133
80,0.78,1,3,2,0.638888888888889,64.0,7.777
81,1.13,3,3,6,0.5929721815519765,59.0,9.09
85,2.09,1,0,3,0.5715969357690042,64.0,9.357
88,0.33,3,2,7,0.6171171171171173,59.0,6.918
90,0.31,3,4,3,0.6286379511059372,59.0,6.687
91,0.71,2,2,2,0.607484769364665,60.0,7.726
92,0.35,3,5,2,0.6114790286975719,59.0,6.669
94,0.3,3,1,4,0.6161026837806302,60.0,6.41
100,1.5,3,0,4,0.6284530386740331,59.0,9.131
101,0.39,2,6,5,0.6135881104033969,59.0,6.962
102,1.01,2,2,2,0.6259780907668231,58.0,8.382
103,0.9,3,6,2,0.6216436126932465,58.0,8.436
104,1.84,3,2,2,0.5966228893058161,58.0,9.54
106,1.61,1,5,1,0.6094477711244178,62.0,9.287
110,1.22,3,1,3,0.6287822878228781,58.0,8.639
111,0.7,1,4,3,0.6286731967943009,61.0,7.86
112,1.07,3,4,1,0.6183206106870228,59.0,8.443
114,0.4,3,6,5,0.6071428571428572,60.0,7.188
116,0.5,1,6,1,0.5852713178294574,64.0,6.865
119,1.03,3,1,2,0.5842185128983308,60.0,8.098
122,0.9,3,3,2,0.629843363561418,58.0,8.236
124,1.26,2,2,1,0.622093023255814,57.0,8.655
125,1.22,3,2,4,0.5894134477825465,59.0,8.893
126,0.4,3,5,3,0.592901878914405,59.0,6.816
128,1.0,3,2,3,0.6044718581341558,58.0,8.514
130,2.01,4,1,2,0.5986642380085003,60.0,9.748
132,2.0,2,0,3,0.6082665021591609,62.0,9.476
134,1.5,2,4,2,0.6337047353760445,58.0,9.302
136,1.51,4,1,2,0.6106973595125254,59.0,9.029
138,1.68,3,0,1,0.5916398713826366,57.0,8.943
140,1.01,2,5,2,0.6336477987421385,59.0,8.518
143,0.66,2,3,5,0.6040386303775241,59.0,7.701
148,0.4,2,4,2,0.6310160427807486,58.0,6.782
150,1.5,3,4,2,0.6209732693625771,60.0,9.079
151,1.17,3,6,4,0.6167531504818385,59.0,9.204
152,1.5,2,6,4,0.6123287671232875,63.0,9.705
153,0.9,2,5,2,0.6175040518638574,60.0,8.307
154,0.72,1,4,5,0.6132404181184669,65.0,8.054
159,0.71,2,0,4,0.6412078152753107,58.0,7.597
163,1.05,2,2,1,0.6300309597523219,59.0,8.333
164,1.01,3,3,1,0.6252945797329144,60.0,8.354
166,0.42,3,5,3,0.608695652173913,59.0,6.865
169,1.65,2,0,2,0.6154864328259432,58.0,8.98
172,1.47,0,2,0,0.6666666666666665,59.0,8.497
173,2.08,3,1,1,0.6121951219512195,58.0,9.637
177,0.3,3,1,2,0.6161026837806302,62.0,6.227
178,1.56,2,0,2,0.5957727873183619,58.0,8.912
179,0.7,1,5,4,0.6099912357581069,61.0,7.99
