carat,cut,color,clarity,depth,table,price_norm_2
0.3,3,6,1,0.6239813736903377,58.0,0.10799275506286242
1.01,4,5,5,0.6273291925465839,56.0,0.159808063712938
0.72,4,4,3,0.6183406113537119,59.0,0.1330697829743162
1.08,2,3,1,0.6319018404907976,57.0,0.14468185446704707
0.36,3,3,4,0.6232044198895027,59.0,0.11027352571655269
0.53,4,4,4,0.6146435452793835,57.0,0.12921435192908487
1.74,3,2,2,0.6214099216710183,59.0,0.1497348819324821
0.33,4,5,5,0.5984598459845986,56.0,0.12043791936043911
0.32,2,5,3,0.6285714285714286,56.0,0.11536242019234459
0.27,4,5,5,0.6183574879227053,57.0,0.11511327335709647
0.63,4,6,2,0.6108108108108109,56.0,0.1310700913099747
0.31,4,3,3,0.6130884041331802,56.0,0.11194424965441892
0.53,4,4,4,0.6202898550724637,55.0,0.13475596669844064
0.7,2,2,4,0.6215978928884986,57.0,0.13264276078760023
0.74,2,2,2,0.6242371403661727,58.0,0.13269975351586946
1.29,2,1,3,0.6280752532561504,58.0,0.1481560577576677
0.71,4,6,2,0.6207497820401047,55.0,0.14386694746621295
0.32,4,3,2,0.6234357224118318,57.0,0.10800897815510321
0.52,4,3,4,0.6153846153846155,56.0,0.1308067393951974
0.42,3,3,6,0.5926680244399185,59.0,0.11792449423374497
1.06,3,5,1,0.6165644171779141,62.0,0.1341178303354431
0.58,4,1,6,0.6233766233766233,53.0,0.13610142722394952
1.5,0,1,2,0.5672630881378397,63.0,0.14067965211066277
0.3,4,3,7,0.619815668202765,55.0,0.1203379066289393
1.0,0,4,4,0.6528332003192338,56.0,0.15191262103463465
0.51,4,4,6,0.6143410852713178,56.0,0.1381444537962242
1.2,3,3,3,0.5818441744102931,59.0,0.1492685033907428
0.41,4,3,7,0.6232948583420777,55.0,0.1291834538350796
0.42,4,5,4,0.6161825726141079,57.0,0.12190157924163499
1.12,3,2,1,0.6194029850746269,58.0,0.14366949001992566
1.22,3,1,2,0.6207906295754027,59.0,0.14374878443848577
0.5,2,2,2,0.6092066601371204,61.0,0.1141811597973698
0.31,3,3,2,0.624277456647399,55.0,0.11471138287274452
0.56,4,6,3,0.6145146088595664,57.0,0.13127762385515118
0.32,4,2,1,0.6193693693693695,54.0,0.11058067727657199
0.72,4,0,2,0.6165803108808291,56.0,0.13250526219611122
1.08,2,2,2,0.6344827586206896,57.0,0.14813451835782027
0.31,1,6,2,0.6310904872389791,57.0,0.1098125423342762
0.33,4,3,7,0.6186726659167604,55.0,0.121948541210004
0.7,4,5,1,0.6200873362445415,56.0,0.13387989199492076
2.53,3,2,1,0.6109215017064847,57.0,0.1656360936403623
1.0,1,2,2,0.648605577689243,56.0,0.14713281719391805
0.37,4,6,3,0.6125541125541126,56.0,0.12308049589337883
0.3,4,5,6,0.6137931034482759,56.0,0.11885855343905237
1.7,2,0,2,0.618516086671044,59.0,0.15173270770395417
0.32,4,1,3,0.6300114547537228,55.0,0.11412403328227144
0.54,3,5,4,0.6269531250000001,60.0,0.12888711667235792
0.34,4,3,4,0.605060506050605,57.0,0.11377005585863367
1.22,4,2,2,0.6194302410518626,55.0,0.15996142112470138
0.7,2,6,4,0.6124234470691163,56.0,0.14297801358591072
1.22,3,4,2,0.6179693206720234,59.0,0.1472094377644745
1.61,3,6,2,0.5903141361256544,60.0,0.15359237596754177
0.71,2,5,3,0.6252189141856391,58.0,0.13753736425753343
0.32,2,1,2,0.6238738738738739,58.0,0.10195516991615534
0.54,4,5,2,0.6152380952380953,55.0,0.1335780556800472
1.0,4,1,1,0.6252945797329144,56.0,0.14234265519540862
0.3,3,3,4,0.6178861788617886,60.0,0.10955300415470025
1.0,2,4,1,0.6340694006309148,55.0,0.14841281479104035
0.38,4,5,7,0.627155172413793,55.0,0.1288932117951
0.42,4,5,3,0.6206896551724138,56.0,0.12166534294604618
