carat,cut,color,clarity,depth,table,price_SQRT
0.3,3,6,1,0.6239813736903377,58.0,2.5205158202241065
1.01,4,5,5,0.6273291925465839,56.0,3.0303465148395157
0.72,4,4,3,0.6183406113537119,59.0,2.825420322713065
1.08,2,3,1,0.6319018404907976,57.0,2.8932680484186046
0.36,3,3,4,0.6232044198895027,59.0,2.5667099563448925
0.53,4,4,4,0.6146435452793835,57.0,2.7378823933836167
1.74,3,2,2,0.6214099216710183,59.0,2.9964979559479095
0.33,4,5,5,0.5984598459845986,56.0,2.6224034777280174
0.32,2,5,3,0.6285714285714286,56.0,2.5600781238079438
0.27,4,5,5,0.6183574879227053,57.0,2.5851498989420323
0.63,4,6,2,0.6108108108108109,56.0,2.735690040922034
0.31,4,3,3,0.6130884041331802,56.0,2.5205158202241065
0.53,4,4,4,0.6202898550724637,55.0,2.748454110950372
0.7,2,2,4,0.6215978928884986,57.0,2.7696570184771976
0.74,2,2,2,0.6242371403661727,58.0,2.791773629791642
1.29,2,1,3,0.6280752532561504,58.0,2.954149623834243
0.71,4,6,2,0.6207497820401047,55.0,2.8437651098499677
0.32,4,3,2,0.6234357224118318,57.0,2.495996794869737
0.52,4,3,4,0.6153846153846155,56.0,2.729651992470835
0.42,3,3,6,0.5926680244399185,59.0,2.659323222175146
1.06,3,5,1,0.6165644171779141,62.0,2.906028217344078
0.58,4,1,6,0.6233766233766233,53.0,2.7138533490223824
1.5,0,1,2,0.5672630881378397,63.0,2.995997329771841
0.3,4,3,7,0.619815668202765,55.0,2.6
1.0,0,4,4,0.6528332003192338,56.0,2.944656176873626
0.51,4,4,6,0.6143410852713178,56.0,2.8126499960002134
1.2,3,3,3,0.5818441744102931,59.0,2.9934929430349424
0.41,4,3,7,0.6232948583420777,55.0,2.6955518915428063
0.42,4,5,4,0.6161825726141079,57.0,2.6596992311161802
1.12,3,2,1,0.6194029850746269,58.0,2.9079202189881346
1.22,3,1,2,0.6207906295754027,59.0,2.9335984728657056
0.5,2,2,2,0.6092066601371204,61.0,2.651980392084376
0.31,3,3,2,0.624277456647399,55.0,2.5268557536986553
0.56,4,6,3,0.6145146088595664,57.0,2.76278844647939
0.32,4,2,1,0.6193693693693695,54.0,2.4576411454889016
0.72,4,0,2,0.6165803108808291,56.0,2.7431733448690405
1.08,2,2,2,0.6344827586206896,57.0,2.9279685790663805
0.31,1,6,2,0.6310904872389791,57.0,2.519325306505692
0.33,4,3,7,0.6186726659167604,55.0,2.617632518135424
0.7,4,5,1,0.6200873362445415,56.0,2.7624264696096437
2.53,3,2,1,0.6109215017064847,57.0,3.102579571904643
1.0,1,2,2,0.648605577689243,56.0,2.8915393824051576
0.37,4,6,3,0.6125541125541126,56.0,2.6504716561397146
0.3,4,5,6,0.6137931034482759,56.0,2.60710567488163
1.7,2,0,2,0.618516086671044,59.0,3.014962686336267
0.32,4,1,3,0.6300114547537228,55.0,2.5211108662651074
0.54,3,5,4,0.6269531250000001,60.0,2.8046390142048585
0.34,4,3,4,0.605060506050605,57.0,2.5649561399758865
1.22,4,2,2,0.6194302410518626,55.0,2.9951627668625957
0.7,2,6,4,0.6124234470691163,56.0,2.859895102971436
1.22,3,4,2,0.6179693206720234,59.0,2.9727092020579478
1.61,3,6,2,0.5903141361256544,60.0,3.0678983033992506
0.71,2,5,3,0.6252189141856391,58.0,2.848683906648823
0.32,2,1,2,0.6238738738738739,58.0,2.4415159225366523
0.54,4,5,2,0.6152380952380953,55.0,2.7355072655725117
1.0,4,1,1,0.6252945797329144,56.0,2.8449956063234967
0.3,3,3,4,0.6178861788617886,60.0,2.5795348417883406
1.0,2,4,1,0.6340694006309148,55.0,2.881319142337412
0.38,4,5,7,0.627155172413793,55.0,2.6959228475607384
0.42,4,5,3,0.6206896551724138,56.0,2.632679243660344
0.74,4,5,2,0.6168384879725085,56.0,2.8160255680657444
0.7,4,4,2,0.6187554776511831,57.0,2.7766886753829643
0.61,1,6,1,0.5976385104450499,62.0,2.6946242780766303
1.21,4,4,0,0.6202346041055719,56.0,2.8955137713366175
1.28,4,3,2,0.6219336219336219,56.0,2.9893143026453406
1.26,2,3,2,0.6326530612244898,58.0,2.995997329771841
0.4,3,6,4,0.6247334754797442,60.0,2.6627053911388696
0.3,3,2,6,0.6271777003484321,59.0,2.55499510762741
0.3,4,1,6,0.6127167630057804,57.0,2.5620304447839803
0.81,4,5,1,0.6208053691275167,55.0,2.8353130338641623
0.32,4,5,3,0.6270022883295194,55.0,2.5600781238079438
0.51,4,3,4,0.6236559139784946,57.0,2.726169473822198
0.76,4,6,4,0.6165670367207514,56.0,2.8955137713366175
0.44,3,3,2,0.6095820591233436,60.0,2.626404386228442
0.72,4,6,4,0.6144578313253011,56.0,2.8626910416599274
1.03,4,6,1,0.6283941039565554,56.0,2.910154635066666
0.6,3,3,2,0.6176744186046511,60.0,2.7213967002258235
0.7,2,3,2,0.6295313881520779,59.0,2.7802877548915688
1.1,2,3,6,0.6138763197586727,60.0,3.0220853727186463
0.3,4,4,4,0.6129032258064516,55.0,2.5678785017987127
0.78,1,3,2,0.638888888888889,64.0,2.788727308289572
1.13,3,3,6,0.5929721815519765,59.0,3.014962686336267
0.56,4,6,2,0.6228571428571429,57.0,2.7136691028937188
0.77,3,1,4,0.6263829787234043,55.0,2.7989283663573814
0.51,3,1,3,0.6294117647058823,55.0,2.659323222175146
2.09,1,0,3,0.5715969357690042,64.0,3.0589213785254437
0.36,4,3,6,0.6284454244762955,57.0,2.6379916603355666
1.26,4,5,5,0.6108726752503576,57.0,3.093218388668993
0.33,3,2,7,0.6171171171171173,59.0,2.6302091171615993
0.51,2,1,2,0.6345776031434185,55.0,2.6408332018512644
0.31,3,4,3,0.6286379511059372,59.0,2.5859234327411937
0.71,2,2,2,0.607484769364665,60.0,2.779568311806709
0.35,3,5,2,0.6114790286975719,59.0,2.582440705998881
0.31,4,3,6,0.6118721461187215,57.0,2.578565492672234
0.3,3,1,4,0.6161026837806302,60.0,2.5317977802344327
0.54,4,6,3,0.6183206106870229,56.0,2.760615873315228
0.38,4,1,3,0.6139037433155079,55.0,2.5524498036200436
1.08,2,4,6,0.609811320754717,58.0,3.0382560787399076
1.28,4,2,6,0.6165951359084405,55.0,3.0129719547317397
1.08,4,3,2,0.6184310738766184,56.0,2.9300170647967225
1.5,3,0,4,0.6284530386740331,59.0,3.021754457264852
0.39,2,6,5,0.6135881104033969,59.0,2.6385602134497517
1.01,2,2,2,0.6259780907668231,58.0,2.8951683888851782
0.9,3,6,2,0.6216436126932465,58.0,2.904479299289289
1.84,3,2,2,0.5966228893058161,58.0,3.0886890422961
0.79,3,0,2,0.5914332784184514,57.0,2.7741665415039525
1.61,1,5,1,0.6094477711244178,62.0,3.047457957052074
1.12,3,3,7,0.6087602078693393,57.0,3.0197682030248614
0.31,4,4,5,0.6115515288788222,56.0,2.563981279182826
0.31,4,3,4,0.6102857142857143,56.0,2.542636427018224
1.22,3,1,3,0.6287822878228781,58.0,2.939217582963194
0.7,1,4,3,0.6286731967943009,61.0,2.8035691537752374
1.07,3,4,1,0.6183206106870228,59.0,2.905684084686427
0.33,4,3,4,0.6136618141097425,56.0,2.5592967784139455
0.4,3,6,5,0.6071428571428572,60.0,2.681044572550035
0.5,1,4,3,0.6329365079365079,57.0,2.6962937525425525
0.5,1,6,1,0.5852713178294574,64.0,2.6201145013147804
0.56,4,4,1,0.6133584195672624,57.0,2.674696244435992
0.41,4,6,3,0.5973223480947476,57.0,2.6591351977663713
1.03,3,1,2,0.5842185128983308,60.0,2.845698508275253
0.54,4,5,4,0.6257197696737044,55.0,2.740072991728505
