,carat,cut,color,clarity,depth,table,price
0,0.3,3,6,1,0.6239813736903377,58.0,6.353
1,1.01,4,5,5,0.6273291925465839,56.0,9.183
2,0.72,4,4,3,0.6183406113537119,59.0,7.983
3,1.08,2,3,1,0.6319018404907976,57.0,8.371
4,0.36,3,3,4,0.6232044198895027,59.0,6.588
5,0.53,4,4,4,0.6146435452793835,57.0,7.496
6,1.74,3,2,2,0.6214099216710183,59.0,8.979
7,0.33,4,5,5,0.5984598459845986,56.0,6.877
8,0.32,2,5,3,0.6285714285714286,56.0,6.554
9,0.27,4,5,5,0.6183574879227053,57.0,6.683
10,0.63,4,6,2,0.6108108108108109,56.0,7.484
11,0.31,4,3,3,0.6130884041331802,56.0,6.353
12,0.53,4,4,4,0.6202898550724637,55.0,7.554
13,0.7,2,2,4,0.6215978928884986,57.0,7.671
14,0.74,2,2,2,0.6242371403661727,58.0,7.794
15,1.29,2,1,3,0.6280752532561504,58.0,8.727
16,0.71,4,6,2,0.6207497820401047,55.0,8.087
17,0.32,4,3,2,0.6234357224118318,57.0,6.23
18,0.52,4,3,4,0.6153846153846155,56.0,7.451
19,0.42,3,3,6,0.5926680244399185,59.0,7.072
20,1.06,3,5,1,0.6165644171779141,62.0,8.445
21,0.58,4,1,6,0.6233766233766233,53.0,7.365
22,1.5,0,1,2,0.5672630881378397,63.0,8.976
23,0.3,4,3,7,0.619815668202765,55.0,6.76
24,1.0,0,4,4,0.6528332003192338,56.0,8.671
25,0.51,4,4,6,0.6143410852713178,56.0,7.911
26,1.2,3,3,3,0.5818441744102931,59.0,8.961
27,0.41,4,3,7,0.6232948583420777,55.0,7.266
28,0.42,4,5,4,0.6161825726141079,57.0,7.074
29,1.12,3,2,1,0.6194029850746269,58.0,8.456
30,1.22,3,1,2,0.6207906295754027,59.0,8.606
31,0.5,2,2,2,0.6092066601371204,61.0,7.033
32,0.31,3,3,2,0.624277456647399,55.0,6.385
33,0.56,4,6,3,0.6145146088595664,57.0,7.633
34,0.32,4,2,1,0.6193693693693695,54.0,6.04
35,0.72,4,0,2,0.6165803108808291,56.0,7.525
36,1.08,2,2,2,0.6344827586206896,57.0,8.573
37,0.31,1,6,2,0.6310904872389791,57.0,6.347
38,0.33,4,3,7,0.6186726659167604,55.0,6.852
39,0.7,4,5,1,0.6200873362445415,56.0,7.631
40,2.53,3,2,1,0.6109215017064847,57.0,9.626
