carat,cut,color,clarity,depth,table,price
0.3,Premium,D,SI2,0.6239813736903377,58.0,6.353
1.01,Ideal,E,VVS2,0.6273291925465839,56.0,9.183
0.72,Ideal,F,VS2,0.6183406113537119,59.0,7.983
1.08,Very Good,G,SI2,0.6319018404907976,57.0,8.371
0.36,Premium,G,VS1,0.6232044198895027,59.0,6.588
0.53,Ideal,F,VS1,0.6146435452793835,57.0,7.496
1.74,Premium,H,SI1,0.6214099216710183,59.0,8.979
0.33,Ideal,E,VVS2,0.5984598459845986,56.0,6.877
0.32,Very Good,E,VS2,0.6285714285714286,56.0,6.554
0.27,Ideal,E,VVS2,0.6183574879227053,57.0,6.683
0.63,Ideal,D,SI1,0.6108108108108109,56.0,7.484
0.31,Ideal,G,VS2,0.6130884041331802,56.0,6.353
0.53,Ideal,F,VS1,0.6202898550724637,55.0,7.554
0.7,Very Good,H,VS1,0.6215978928884986,57.0,7.671
0.74,Very Good,H,SI1,0.6242371403661727,58.0,7.794
1.29,Very Good,I,VS2,0.6280752532561504,58.0,8.727
0.71,Ideal,D,SI1,0.6207497820401047,55.0,8.087
0.32,Ideal,G,SI1,0.6234357224118318,57.0,6.23
0.52,Ideal,G,VS1,0.6153846153846155,56.0,7.451
0.42,Premium,G,VVS1,0.5926680244399185,59.0,7.072
1.06,Premium,E,SI2,0.6165644171779141,62.0,8.445
0.58,Ideal,I,VVS1,0.6233766233766233,53.0,7.365
1.5,Fair,I,SI1,0.5672630881378397,63.0,8.976
0.3,Ideal,G,IF,0.619815668202765,55.0,6.76
1.0,Fair,F,VS1,0.6528332003192338,56.0,8.671
0.51,Ideal,F,VVS1,0.6143410852713178,56.0,7.911
1.2,Premium,G,VS2,0.5818441744102931,59.0,8.961
0.41,Ideal,G,IF,0.6232948583420777,55.0,7.266
0.42,Ideal,E,VS1,0.6161825726141079,57.0,7.074
1.12,Premium,H,SI2,0.6194029850746269,58.0,8.456
1.22,Premium,I,SI1,0.6207906295754027,59.0,8.606
0.5,Very Good,H,SI1,0.6092066601371204,61.0,7.033
0.31,Premium,G,SI1,0.624277456647399,55.0,6.385
0.56,Ideal,D,VS2,0.6145146088595664,57.0,7.633
0.32,Ideal,H,SI2,0.6193693693693695,54.0,6.04
0.72,Ideal,J,SI1,0.6165803108808291,56.0,7.525
1.08,Very Good,H,SI1,0.6344827586206896,57.0,8.573
0.31,Good,D,SI1,0.6310904872389791,57.0,6.347
0.33,Ideal,G,IF,0.6186726659167604,55.0,6.852
0.7,Ideal,E,SI2,0.6200873362445415,56.0,7.631
2.53,Premium,H,SI2,0.6109215017064847,57.0,9.626
1.0,Good,H,SI1,0.648605577689243,56.0,8.361
0.37,Ideal,D,VS2,0.6125541125541126,56.0,7.025
0.3,Ideal,E,VVS1,0.6137931034482759,56.0,6.797
1.7,Very Good,J,SI1,0.618516086671044,59.0,9.09
0.32,Ideal,I,VS2,0.6300114547537228,55.0,6.356
0.54,Premium,E,VS1,0.6269531250000001,60.0,7.866
0.34,Ideal,G,VS1,0.605060506050605,57.0,6.579
1.22,Ideal,H,SI1,0.6194302410518626,55.0,8.971
0.7,Very Good,D,VS1,0.6124234470691163,56.0,8.179
1.22,Premium,F,SI1,0.6179693206720234,59.0,8.837
1.61,Premium,D,SI1,0.5903141361256544,60.0,9.412
0.71,Very Good,E,VS2,0.6252189141856391,58.0,8.115
0.32,Very Good,I,SI1,0.6238738738738739,58.0,5.961
0.54,Ideal,E,SI1,0.6152380952380953,55.0,7.483
1.0,Ideal,I,SI2,0.6252945797329144,56.0,8.094
0.3,Premium,G,VS1,0.6178861788617886,60.0,6.654
1.0,Very Good,F,SI2,0.6340694006309148,55.0,8.302
0.38,Ideal,E,IF,0.627155172413793,55.0,7.268
0.42,Ideal,E,VS2,0.6206896551724138,56.0,6.931
0.74,Ideal,E,SI1,0.6168384879725085,56.0,7.93
0.7,Ideal,F,SI1,0.6187554776511831,57.0,7.71
0.61,Good,D,SI2,0.5976385104450499,62.0,7.261
1.21,Ideal,F,I1,0.6202346041055719,56.0,8.384
1.28,Ideal,G,SI1,0.6219336219336219,56.0,8.936
1.26,Very Good,G,SI1,0.6326530612244898,58.0,8.976
0.4,Premium,D,VS1,0.6247334754797442,60.0,7.09
0.3,Premium,H,VVS1,0.6271777003484321,59.0,6.528
0.3,Ideal,I,VVS1,0.6127167630057804,57.0,6.564
0.81,Ideal,E,SI2,0.6208053691275167,55.0,8.039
0.32,Ideal,E,VS2,0.6270022883295194,55.0,6.554
0.51,Ideal,G,VS1,0.6236559139784946,57.0,7.432
0.76,Ideal,D,VS1,0.6165670367207514,56.0,8.384
0.44,Premium,G,SI1,0.6095820591233436,60.0,6.898
0.72,Ideal,D,VS1,0.6144578313253011,56.0,8.195
1.03,Ideal,D,SI2,0.6283941039565554,56.0,8.469
0.6,Premium,G,SI1,0.6176744186046511,60.0,7.406
0.7,Very Good,G,SI1,0.6295313881520779,59.0,7.73
1.1,Very Good,G,VVS1,0.6138763197586727,60.0,9.133
0.3,Ideal,F,VS1,0.6129032258064516,55.0,6.594
0.78,Good,G,SI1,0.638888888888889,64.0,7.777
1.13,Premium,G,VVS1,0.5929721815519765,59.0,9.09
0.56,Ideal,D,SI1,0.6228571428571429,57.0,7.364
0.77,Premium,I,VS1,0.6263829787234043,55.0,7.834
0.51,Premium,I,VS2,0.6294117647058823,55.0,7.072
2.09,Good,J,VS2,0.5715969357690042,64.0,9.357
0.36,Ideal,G,VVS1,0.6284454244762955,57.0,6.959
1.26,Ideal,E,VVS2,0.6108726752503576,57.0,9.568
0.33,Premium,H,IF,0.6171171171171173,59.0,6.918
0.51,Very Good,I,SI1,0.6345776031434185,55.0,6.974
0.31,Premium,F,VS2,0.6286379511059372,59.0,6.687
0.71,Very Good,H,SI1,0.607484769364665,60.0,7.726
0.35,Premium,E,SI1,0.6114790286975719,59.0,6.669
0.31,Ideal,G,VVS1,0.6118721461187215,57.0,6.649
0.3,Premium,I,VS1,0.6161026837806302,60.0,6.41
0.54,Ideal,D,VS2,0.6183206106870229,56.0,7.621
0.38,Ideal,I,VS2,0.6139037433155079,55.0,6.515
1.08,Very Good,F,VVS1,0.609811320754717,58.0,9.231
1.28,Ideal,H,VVS1,0.6165951359084405,55.0,9.078
1.08,Ideal,G,SI1,0.6184310738766184,56.0,8.585
1.5,Premium,J,VS1,0.6284530386740331,59.0,9.131
0.39,Very Good,D,VVS2,0.6135881104033969,59.0,6.962
1.01,Very Good,H,SI1,0.6259780907668231,58.0,8.382
0.9,Premium,D,SI1,0.6216436126932465,58.0,8.436
1.84,Premium,H,SI1,0.5966228893058161,58.0,9.54
0.79,Premium,J,SI1,0.5914332784184514,57.0,7.696
1.61,Good,E,SI2,0.6094477711244178,62.0,9.287
1.12,Premium,G,IF,0.6087602078693393,57.0,9.119
0.31,Ideal,F,VVS2,0.6115515288788222,56.0,6.574
0.31,Ideal,G,VS1,0.6102857142857143,56.0,6.465
1.22,Premium,I,VS2,0.6287822878228781,58.0,8.639
0.7,Good,F,VS2,0.6286731967943009,61.0,7.86
1.07,Premium,F,SI2,0.6183206106870228,59.0,8.443
0.33,Ideal,G,VS1,0.6136618141097425,56.0,6.55
0.4,Premium,D,VVS2,0.6071428571428572,60.0,7.188
0.5,Good,F,VS2,0.6329365079365079,57.0,7.27
0.5,Good,D,SI2,0.5852713178294574,64.0,6.865
0.56,Ideal,F,SI2,0.6133584195672624,57.0,7.154
0.41,Ideal,D,VS2,0.5973223480947476,57.0,7.071
1.03,Premium,I,SI1,0.5842185128983308,60.0,8.098
0.54,Ideal,E,VS1,0.6257197696737044,55.0,7.508
0.3,Ideal,F,VS2,0.611111111111111,56.0,6.654
0.9,Premium,G,SI1,0.629843363561418,58.0,8.236
0.61,Ideal,I,SI2,0.6100456621004566,57.0,7.245
1.26,Very Good,H,SI2,0.622093023255814,57.0,8.655
1.22,Premium,H,VS1,0.5894134477825465,59.0,8.893
0.4,Premium,E,VS2,0.592901878914405,59.0,6.816
0.34,Ideal,E,SI2,0.6126526082130965,55.0,6.118
1.0,Premium,H,VS2,0.6044718581341558,58.0,8.514
1.58,Ideal,E,SI1,0.6099667774086378,57.0,9.515
2.01,Ideal,I,SI1,0.5986642380085003,60.0,9.748
0.32,Ideal,D,VS2,0.6103603603603605,56.0,6.631
2.0,Very Good,J,VS2,0.6082665021591609,62.0,9.476
1.27,Ideal,E,VS1,0.6178160919540229,57.0,9.379
1.5,Very Good,F,SI1,0.6337047353760445,58.0,9.302
0.5,Ideal,F,SI2,0.608357628765792,57.0,7.093
1.51,Ideal,I,SI1,0.6106973595125254,59.0,9.029
0.62,Premium,G,VS2,0.6216955332725617,55.0,7.508
1.68,Premium,J,SI2,0.5916398713826366,57.0,8.943
0.52,Ideal,G,VS1,0.6162679425837322,54.0,7.451
1.01,Very Good,E,SI1,0.6336477987421385,59.0,8.518
1.28,Ideal,G,SI2,0.6136200716845879,57.0,8.681
0.5,Ideal,H,VS2,0.6165853658536585,55.0,7.394
0.66,Very Good,G,VVS2,0.6040386303775241,59.0,7.701
1.01,Very Good,F,VS2,0.6265624999999999,56.0,8.726
0.31,Ideal,G,VS2,0.6199770378874856,57.0,6.299
0.31,Ideal,F,IF,0.600907029478458,57.0,7.052
0.58,Ideal,F,VVS1,0.6162464985994397,57.0,7.911
0.4,Very Good,F,SI1,0.6310160427807486,58.0,6.782
0.9,Ideal,G,VS1,0.6207455429497569,56.0,8.62
1.5,Premium,F,SI1,0.6209732693625771,60.0,9.079
1.17,Premium,D,VS1,0.6167531504818385,59.0,9.204
1.5,Very Good,D,VS1,0.6123287671232875,63.0,9.705
0.9,Very Good,E,SI1,0.6175040518638574,60.0,8.307
0.72,Good,F,VVS2,0.6132404181184669,65.0,8.054
0.71,Ideal,D,VS2,0.6039689387402933,57.0,8.05
1.56,Ideal,J,VS2,0.6235690235690236,57.0,8.963
0.71,Very Good,G,VS2,0.6313932980599647,54.0,7.853
0.52,Very Good,G,VVS1,0.6109510086455332,58.0,7.656
0.71,Very Good,J,VS1,0.6412078152753107,58.0,7.597
1.11,Ideal,I,SI1,0.6185101580135441,57.0,8.457
1.27,Premium,I,SI1,0.6226415094339623,56.0,8.646
0.24,Very Good,D,SI1,0.6306532663316582,55.0,6.163
1.05,Very Good,H,SI2,0.6300309597523219,59.0,8.333
1.01,Premium,G,SI2,0.6252945797329144,60.0,8.354
0.7,Premium,D,SI2,0.6180860403863038,55.0,7.706
0.42,Premium,E,VS2,0.608695652173913,59.0,6.865
0.34,Ideal,H,VVS1,0.6108048511576626,56.0,6.621
1.11,Ideal,E,SI2,0.6119402985074627,55.0,8.586
1.65,Very Good,J,SI1,0.6154864328259432,58.0,8.98
0.81,Very Good,H,VS1,0.6355140186915889,57.0,8.04
0.81,Ideal,G,VVS2,0.6178184845961698,55.1,8.325
1.47,Fair,H,I1,0.6666666666666665,59.0,8.497
2.08,Premium,I,SI2,0.6121951219512195,58.0,9.637
1.55,Ideal,I,VS2,0.6260162601626017,56.0,9.131
0.32,Ideal,E,VVS2,0.6133032694475761,54.0,6.658
0.55,Ideal,E,VS2,0.6197718631178707,55.0,7.447
0.3,Premium,I,SI1,0.6161026837806302,62.0,6.227
1.56,Very Good,J,SI1,0.5957727873183619,58.0,8.912
0.7,Good,E,VS1,0.6099912357581069,61.0,7.99
0.3,Very Good,E,VS2,0.6146682188591386,58.0,6.461
0.33,Premium,G,VS2,0.6004464285714285,58.0,6.611
0.72,Premium,E,SI2,0.6175195143104943,58.0,7.662
0.7,Premium,G,VS1,0.5927209705372617,62.0,7.822
1.04,Very Good,D,VS1,0.6231546231546231,59.0,9.011
0.34,Good,H,VS2,0.6316964285714285,55.0,6.286
1.02,Premium,H,SI1,0.620203602192639,60.0,8.476
0.31,Good,E,SI1,0.6342592592592593,57.0,6.299
1.12,Ideal,E,SI1,0.6157303370786517,55.0,8.773
1.0,Very Good,H,SI1,0.6187845303867403,58.0,8.508
0.33,Ideal,G,VS1,0.6213151927437642,56.0,6.501
0.55,Premium,G,SI1,0.6209523809523809,56.0,7.186
1.2,Premium,H,VS1,0.6134699853587117,58.0,8.799
1.51,Premium,G,SI1,0.615595075239398,59.0,9.282
0.54,Very Good,E,VS2,0.6120114394661582,58.0,7.442
0.32,Premium,I,VS1,0.6132723112128148,58.0,6.474
0.33,Premium,G,VS1,0.6143497757847535,59.0,6.75
0.54,Ideal,G,VVS2,0.6205571565802114,56.0,7.593
0.3,Ideal,E,IF,0.6173410404624279,55.0,6.849
0.31,Premium,J,SI1,0.6086956521739131,60.0,6.142
0.41,Good,F,VS1,0.5799180327868851,61.0,6.792
0.72,Ideal,H,SI1,0.6219512195121951,58.0,7.807
0.43,Ideal,H,VVS1,0.6153846153846154,56.0,7.169
0.9,Very Good,F,SI1,0.6113328012769353,56.0,8.267
0.3,Fair,E,VVS2,0.6658653846153846,54.0,6.373
1.01,Premium,G,VS2,0.623924941360438,58.0,8.717
1.5,Premium,G,SI2,0.6210670314637482,60.0,8.868
0.56,Premium,E,VS2,0.6106442577030812,57.0,7.53
0.33,Ideal,D,SI1,0.6237288135593219,54.0,6.41
0.5,Very Good,D,VS1,0.6314741035856574,57.0,7.447
1.2,Premium,G,VS1,0.6294642857142857,59.0,8.695
0.7,Very Good,I,SI1,0.6217891939769707,55.0,7.672
0.38,Ideal,F,VS1,0.6244635193133047,54.0,6.906
0.43,Ideal,D,SI1,0.6150670794633643,56.0,6.97
0.42,Ideal,D,VVS2,0.6208333333333333,55.0,7.19
0.31,Ideal,E,VS2,0.6183908045977012,56.0,6.771
1.04,Very Good,F,SI2,0.6228748068006182,58.0,8.338
1.26,Ideal,E,SI1,0.6152737752161384,59.0,9.056
0.3,Ideal,D,SI1,0.6218097447795823,55.0,6.314
1.56,Premium,E,VS2,0.614765100671141,58.0,9.406
0.43,Premium,F,VS2,0.6096807415036045,57.0,6.875
0.5,Good,F,SI1,0.5955383123181377,61.0,7.102
0.27,Very Good,G,VVS1,0.6280193236714975,55.0,6.339
0.78,Very Good,D,VS2,0.6224489795918368,56.0,8.207
0.53,Good,E,VS1,0.631782945736434,56.0,7.482
1.06,Ideal,G,SI2,0.620583717357911,58.0,8.515
0.4,Very Good,F,VS1,0.630901287553648,59.0,6.844
0.59,Ideal,G,SI1,0.6347417840375587,56.0,7.227
1.08,Very Good,E,SI2,0.6348962336664103,56.0,8.223
1.21,Ideal,H,VS2,0.6282335550628233,55.0,8.68
0.4,Premium,D,SI1,0.6165254237288135,58.0,6.898
0.41,Ideal,D,SI2,0.6259220231822973,57.0,6.735
0.32,Ideal,D,SI1,0.6271379703534778,54.0,6.628
0.58,Premium,E,SI1,0.5847846012832264,55.0,7.249
1.1,Very Good,J,SI2,0.6182917611489039,58.0,8.362
0.71,Good,F,VS1,0.5804794520547946,61.0,7.847
0.33,Very Good,F,VS1,0.5911111111111111,60.0,6.649
0.25,Premium,E,VS1,0.6153846153846155,60.0,6.075
0.25,Ideal,E,VS2,0.6188118811881189,57.0,6.282
1.0,Premium,D,SI1,0.6251968503937009,59.0,8.679
0.7,Very Good,F,VS1,0.6278659611992945,59.0,8.024
0.32,Ideal,G,VS2,0.6141552511415526,56.0,6.579
0.51,Ideal,E,VS1,0.6269531250000001,56.0,7.472
1.51,Ideal,H,VS2,0.6224350205198358,57.0,9.354
2.03,Very Good,G,SI1,0.6127239036442249,59.0,9.812
